"","var","chi","df","p","n"
"40","X55A.Numeral.Classifiers","0.619159648465541","2",0.73375519761509,NA
"41","161","161","161",161,161
"42","X56A.Conjunctions.and.Universal.Quantifiers","3.12145443250253","2",0.209983312385889,NA
"43","71","71","71",71,71
"44","X57A.Position.of.Pronominal.Possessive.Affixes","42.7099489828317","3",2.83589567643487e-09,NA
"45","463","463","463",463,463
"46","X58A.Obligatory.Possessive.Inflection","0.0772793047243141","1",0.781018841386349,NA
"47","135","135","135",135,135
"48","X59A.Possessive.Classification","8.4331903938948","3",0.0378580323123318,NA
"49","135","135","135",135,135
"50","X64A.Nominal.and.Verbal.Conjunction","0.0892617259143975","2",0.956350441057623,NA
"51","128","128","128",128,128
"52","X65A.Perfective.Imperfective.Aspect","0.0380739785277768","1",0.845294664473368,NA
"53","108","108","108",108,108
"54","X67A.The.Future.Tense","0.113841404591852","1",0.735812430714233,NA
"55","108","108","108",108,108
"56","X71A.The.Prohibitive","10.9938775745533","3",0.0117590279572037,NA
"57","229","229","229",229,229
"58","X75A.Epistemic.Possibility","7.47744927207221","2",0.0237844175853054,NA
"59","138","138","138",138,138
"60","X77A.Semantic.Distinctions.of.Evidentiality","6.92137094868488","2",0.0314082251052591,NA
"61","204","204","204",204,204
"63","599","599","599",599,599
"65","479","479","479",479,479
"67","536","536","536",536,536
"69","563","563","563",563,563
"71","485","485","485",485,485
"72","X93A.Position.of.Interrogative.Phrases.in.Content.Questions","2.69022272911104","2",0.260510694586769,NA
"73","413","413","413",413,413
"74","X107A.Passive.Constructions","0.0905914806466086","1",0.763426552923686,NA
"75","192","192","192",192,192
"76","X108A.Antipassive.Constructions","0.161975227587433","2",0.922205113996644,NA
"77","106","106","106",106,106
"78","X110A.Periphrastic.Causative.Constructions","0.206768652576898","2",0.901780328986652,NA
"79","62","62","62",62,62
"80","X112A.Negative.Morphemes","8.8964685547333","5",0.113265620674629,NA
"81","542","542","542",542,542
"82","X113A.Symmetric.and.Asymmetric.Standard.Negation","3.18129182605867","2",0.203793936054676,NA
"83","160","160","160",160,160
"84","X125A.Purpose.Clauses","17.6654675935663","2",0.000145878890621925,NA
"85","91","91","91",91,91
"86","X127A.Reason.Clauses","2.00198779917574","2",0.367513987588642,NA
"87","88","88","88",88,88
"88","X129A.Hand.and.Arm","1.86429584764755","1",0.172129815523837,NA
"89","184","184","184",184,184
"90","X130A.Finger.and.Hand","7.04336647742652","1",0.00795593509009587,NA
"91","174","174","174",174,174
"92","X142A.Para.Linguistic.Usages.of.Clicks","3.10575523356944","2",0.211638083431015,NA
"93","55","55","55",55,55
"94","X144P.NegSOV.Order","0.0695677125555747","2",0.96581414836368,NA
"95","246","246","246",246,246
"96","X144K.SVONeg.Order","1.18349505026501","3",0.756965541211493,NA
"97","142","142","142",142,142
"98","X144B.Position.of.negative.words.relative.to.beginning.and.end.of.clause.and.with.respect.to.adjacency.to.verb","6.84437081895661","4",0.144344655370525,NA
"99","250","250","250",250,250
"100","X143E.Preverbal.Negative.Morphemes","20.4559164418977","3",0.000136539938269246,NA
"101","582","582","582",582,582
"102","X137B.M.in.Second.Person.Singular","8.91737488879745","1",0.00282470243757499,NA
"103","131","131","131",131,131
"104","X136B.M.in.First.Person.Singular","0.252154844660183","1",0.615561855539479,NA
"105","131","131","131",131,131
"106","X25B.Zero.Marking.of.A.and.P.Arguments","2.89828066435619","1",0.088674088273769,NA
"107","134","134","134",134,134
"108","VerbPos","24.5233680524217","2",4.72953331037511e-06,NA
"109","460","460","460",460,460
"110","VerbInitial","4.44892326219963","1",0.0349232596892545,NA
"111","460","460","460",460,460
